"filename", "language", "Markdown", "C++", "HTML", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\actic\Aura\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\actic\Aura\src\3rdparty\glfw\LICENSE.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\actic\Aura\src\3rdparty\glfw\README.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 24, 70
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\build_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\build_guide.html", "HTML", 0, 0, 186, 0, 0, 0, 4, 3, 193
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\compat_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\compat_guide.html", "HTML", 0, 0, 139, 0, 0, 0, 4, 3, 146
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\compile_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\compile_guide.html", "HTML", 0, 0, 210, 0, 0, 0, 4, 3, 217
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\context_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\context_guide.html", "HTML", 0, 0, 245, 0, 0, 0, 4, 3, 252
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\deprecated.html", "HTML", 0, 0, 75, 0, 0, 0, 4, 3, 82
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\dir_1dfd43b3952c5bc1ba15d15b12afff7b.html", "HTML", 0, 0, 82, 0, 0, 0, 4, 3, 89
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\dir_4351554941a2744586042c1cf3cf139a.html", "HTML", 0, 0, 80, 0, 0, 0, 4, 3, 87
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\dir_f6ba4c3dca55a8d4e7d63c8235e0ad43.html", "HTML", 0, 0, 78, 0, 0, 0, 4, 3, 85
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\dir_fda32cf7bec00275262cb8799a618f76.html", "HTML", 0, 0, 72, 0, 0, 0, 4, 3, 79
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\doxygen.css", "CSS", 0, 0, 0, 1497, 0, 0, 48, 297, 1842
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\doxygen.svg", "XML", 0, 0, 0, 0, 0, 26, 0, 1, 27
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\dynsections.js", "JavaScript", 0, 0, 0, 0, 80, 0, 32, 10, 122
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\extra.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\files.html", "HTML", 0, 0, 78, 0, 0, 0, 4, 3, 85
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\glfw3_8h.html", "HTML", 0, 0, 1555, 0, 0, 0, 4, 61, 1620
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\glfw3_8h_source.html", "HTML", 0, 0, 1149, 0, 0, 0, 4, 3, 1156
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\glfw3native_8h.html", "HTML", 0, 0, 154, 0, 0, 0, 4, 3, 161
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\glfw3native_8h_source.html", "HTML", 0, 0, 279, 0, 0, 0, 4, 3, 286
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__buttons.html", "HTML", 0, 0, 245, 0, 0, 0, 4, 27, 276
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__context.html", "HTML", 0, 0, 277, 0, 0, 0, 4, 15, 296
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__errors.html", "HTML", 0, 0, 269, 0, 0, 0, 4, 25, 298
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__gamepad__axes.html", "HTML", 0, 0, 175, 0, 0, 0, 4, 17, 196
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__gamepad__buttons.html", "HTML", 0, 0, 357, 0, 0, 0, 4, 43, 404
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__hat__state.html", "HTML", 0, 0, 203, 0, 0, 0, 4, 21, 228
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__init.html", "HTML", 0, 0, 507, 0, 0, 0, 4, 35, 546
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__input.html", "HTML", 0, 0, 2114, 0, 0, 0, 4, 111, 2229
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__joysticks.html", "HTML", 0, 0, 315, 0, 0, 0, 4, 37, 356
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__keys.html", "HTML", 0, 0, 1793, 0, 0, 0, 4, 247, 2044
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__mods.html", "HTML", 0, 0, 173, 0, 0, 0, 4, 15, 192
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__monitor.html", "HTML", 0, 0, 797, 0, 0, 0, 4, 41, 842
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__native.html", "HTML", 0, 0, 751, 0, 0, 0, 4, 51, 806
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__shapes.html", "HTML", 0, 0, 173, 0, 0, 0, 4, 15, 192
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__vulkan.html", "HTML", 0, 0, 334, 0, 0, 0, 4, 15, 353
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\group__window.html", "HTML", 0, 0, 3215, 0, 0, 0, 4, 209, 3428
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\index.html", "HTML", 0, 0, 87, 0, 0, 0, 4, 3, 94
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\input_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\input_guide.html", "HTML", 0, 0, 556, 0, 0, 0, 4, 3, 563
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\internal_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\internals_guide.html", "HTML", 0, 0, 119, 0, 0, 0, 4, 3, 126
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\intro_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\intro_guide.html", "HTML", 0, 0, 323, 0, 0, 0, 4, 3, 330
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\jquery.js", "JavaScript", 0, 0, 0, 0, 7, 0, 27, 1, 35
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\main_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\menu.js", "JavaScript", 0, 0, 0, 0, 107, 0, 27, 2, 136
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\menudata.js", "JavaScript", 0, 0, 0, 0, 6, 0, 24, 1, 31
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\modules.html", "HTML", 0, 0, 88, 0, 0, 0, 4, 3, 95
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\monitor_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\monitor_guide.html", "HTML", 0, 0, 216, 0, 0, 0, 4, 3, 223
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\moving_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\moving_guide.html", "HTML", 0, 0, 361, 0, 0, 0, 4, 3, 368
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\news.html", "HTML", 0, 0, 608, 0, 0, 0, 4, 3, 615
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\news_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\pages.html", "HTML", 0, 0, 86, 0, 0, 0, 4, 3, 93
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\quick_8dox.html", "HTML", 0, 0, 68, 0, 0, 0, 4, 3, 75
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\quick_guide.html", "HTML", 0, 0, 385, 0, 0, 0, 4, 3, 392
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_0.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_0.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_1.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_1.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_10.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_10.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_11.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_11.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_2.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_2.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_3.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_3.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_4.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_4.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_5.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_5.js", "JavaScript", 0, 0, 0, 0, 477, 0, 0, 1, 478
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_6.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_6.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_7.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_7.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_8.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_8.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_9.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_9.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_a.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_a.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_b.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_b.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_c.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_c.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_d.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_d.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_e.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_e.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_f.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\all_f.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\classes_0.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\classes_0.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\close.svg", "XML", 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\defines_0.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\defines_0.js", "JavaScript", 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\actic\Aura\src\3rdparty\glfw\docs\html\search\files_0.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 1, 38
